period,occupation_major_group,sector,region,employed_thousands
2026-Q1,All Occupations,Agriculture,Philippines,9362.285
2026-Q1,All Occupations,Industry,Philippines,8789.925
2026-Q1,All Occupations,Services,Philippines,30916.789
2026-Q1,Managers,All Sectors,Philippines,1784.754
2026-Q1,Professionals,All Sectors,Philippines,3086.389
2026-Q1,Technicians and Associate Professionals,All Sectors,Philippines,2142.439
2026-Q1,Clerical Support Workers,All Sectors,Philippines,4231.701
2026-Q1,Service and Sales Workers,All Sectors,Philippines,11906.460
2026-Q1,Skilled Agricultural Forestry and Fishery Workers,All Sectors,Philippines,5040.231
2026-Q1,Craft and Related Trades Workers,All Sectors,Philippines,3944.586
2026-Q1,Plant and Machine Operators and Assemblers,All Sectors,Philippines,4536.167
2026-Q1,Elementary Occupations,All Sectors,Philippines,12311.307
2026-Q1,Armed Forces Occupations,All Sectors,Philippines,84.964
